particle,repetition,dist_mm,dist_perc,C0,rpm,time,trans
NC7000,1,117.4781,50,6,600,1231.72,87.8677
NC7000,1,117.4781,50,6,600,1241.82,87.77335
NC7000,1,117.4781,50,6,600,1251.79,88.2895
NC7000,1,117.4781,50,6,600,1261.69,88.39989
NC7000,1,117.4781,50,6,600,1271.74,88.87682
NC7000,1,117.4781,50,6,600,1281.77,88.60506
NC7000,1,117.4781,50,6,600,1291.69,88.74324
NC7000,1,117.4781,50,6,600,1301.67,88.54863
NC7000,1,117.4781,50,6,600,1311.76,88.46711
NC7000,1,117.4781,50,6,600,1321.71,88.79704
NC7000,1,117.4781,50,6,600,1331.67,88.5648
NC7000,1,117.4781,50,6,600,1341.82,88.47234
NC7000,1,117.4781,50,6,600,1351.8,88.83522
NC7000,1,117.4781,50,6,600,1361.9,88.2842
NC7000,1,117.4781,50,6,600,1371.83,88.3007
NC7000,1,117.4781,50,6,600,1381.77,88.63831
NC7000,1,117.4781,50,6,600,1391.81,88.03699
NC7000,1,117.4781,50,6,600,1401.76,88.38317
NC7000,1,117.4781,50,6,600,1411.73,88.6933
NC7000,1,117.4781,50,6,600,1421.76,88.4095
NC7000,1,117.4781,50,6,600,1431.77,88.48402
NC7000,1,117.4781,50,6,600,1441.79,88.62373
NC7000,1,117.4781,50,6,600,1451.67,88.61858
NC7000,1,117.4781,50,6,600,1461.77,88.75079
NC7000,1,117.4781,50,6,600,1471.74,88.56297
NC7000,1,117.4781,50,6,600,1481.71,88.61282
NC7000,1,117.4781,50,6,600,1491.62,88.37451
NC7000,1,117.4781,50,6,600,1501.76,88.80756
NC7000,1,117.4781,50,6,600,1511.64,88.59812
NC7000,1,117.4781,50,6,600,1521.8,88.45028
NC7000,1,117.4781,50,6,600,1531.86,88.48902
NC7000,1,117.4781,50,6,600,1541.9,88.90546
NC7000,1,117.4781,50,6,600,1551.79,88.47925
NC7000,1,117.4781,50,6,600,1561.79,88.49114
NC7000,1,117.4781,50,6,600,1571.84,88.28894
NC7000,1,117.4781,50,6,600,1581.87,88.29662
NC7000,1,117.4781,50,6,600,1591.83,88.54942
NC7000,1,117.4781,50,6,600,1601.73,88.27725
NC7000,1,117.4781,50,6,600,1611.84,88.54003
NC7000,1,117.4781,50,6,600,1621.83,88.43112
NC7000,1,117.4781,50,6,600,1631.76,88.5887
NC7000,1,117.4781,50,6,600,1641.72,88.65744
NC7000,1,117.4781,50,6,600,1651.81,88.43351
NC7000,1,117.4781,50,6,600,1661.78,88.50522
NC7000,1,117.4781,50,6,600,1671.7,88.7616
NC7000,1,117.4781,50,6,600,1681.69,88.73849
NC7000,1,117.4781,50,6,600,1691.78,88.98704
NC7000,1,117.4781,50,6,600,1701.72,88.78802
NC7000,1,117.4781,50,6,600,1711.66,88.97231
NC7000,1,117.4781,50,6,600,1721.67,88.45093
NC7000,1,117.4781,50,6,600,1731.65,88.42915
NC7000,1,117.4781,50,6,600,1741.93,88.20712
NC7000,1,117.4781,50,6,600,1751.87,88.50099
NC7000,1,117.4781,50,6,600,1761.93,88.0956
NC7000,1,117.4781,50,6,600,1771.86,88.59478
NC7000,1,117.4781,50,6,600,1781.84,88.44337
NC7000,1,117.4781,50,6,600,1791.79,88.64546
NC7000,1,117.4781,50,6,600,1801.85,88.37963
NC7000,1,117.4781,50,6,600,1811.75,88.74731
NC7000,1,117.4781,50,6,600,1821.79,89.05621
NC7000,1,117.4781,50,6,600,1831.76,88.31022
NC7000,1,117.4781,50,6,600,1841.74,88.3456
NC7000,1,117.4781,50,6,600,1851.71,88.26776
NC7000,1,117.4781,50,6,600,1861.71,88.42558
NC7000,1,117.4781,50,6,600,1871.71,88.64976
NC7000,1,117.4781,50,6,600,1881.7,88.09329
NC7000,1,117.4781,50,6,600,1891.79,88.59306
NC7000,1,117.4781,50,6,600,1901.66,88.62294
NC7000,1,117.4781,50,6,600,1911.71,88.74036
NC7000,1,117.4781,50,6,600,1921.9,88.46873
NC7000,1,117.4781,50,6,600,1931.91,88.32212
NC7000,1,117.4781,50,6,600,1941.82,88.46413
NC7000,1,117.4781,50,6,600,1951.8,88.97839
NC7000,1,117.4781,50,6,600,1961.85,88.58634
NC7000,1,117.4781,50,6,600,1971.79,88.74311
NC7000,1,117.4781,50,6,600,1981.76,88.95155
NC7000,1,117.4781,50,6,600,1991.85,89.0816
NC7000,1,117.4781,50,6,600,2001.75,88.82807
NC7000,1,117.4781,50,6,800,1.24,81.5884
NC7000,1,117.4781,50,6,800,5.05,80.55589
NC7000,1,117.4781,50,6,800,10.01,81.34624
NC7000,1,117.4781,50,6,800,15.03,79.24068
NC7000,1,117.4781,50,6,800,20.09,81.95866
NC7000,1,117.4781,50,6,800,25,80.86691
NC7000,1,117.4781,50,6,800,30.3,83.26535
NC7000,1,117.4781,50,6,800,34.97,82.01302
NC7000,1,117.4781,50,6,800,40.1,84.11957
NC7000,1,117.4781,50,6,800,45.26,80.08706
NC7000,1,117.4781,50,6,800,50.07,83.26134
NC7000,1,117.4781,50,6,800,55.19,82.12463
NC7000,1,117.4781,50,6,800,60.01,82.08044
NC7000,1,117.4781,50,6,800,65.22,83.13824
NC7000,1,117.4781,50,6,800,70.12,82.32507
NC7000,1,117.4781,50,6,800,75.27,83.76382
NC7000,1,117.4781,50,6,800,80.13,84.10426
NC7000,1,117.4781,50,6,800,84.97,83.14868
NC7000,1,117.4781,50,6,800,90.08,82.38081
NC7000,1,117.4781,50,6,800,95.1,84.89372
NC7000,1,117.4781,50,6,800,99.96,82.24843
NC7000,1,117.4781,50,6,800,105.31,83.24996
NC7000,1,117.4781,50,6,800,109.98,83.25456
NC7000,1,117.4781,50,6,800,115.12,83.31659
NC7000,1,117.4781,50,6,800,120.16,84.5353
NC7000,1,117.4781,50,6,800,125.09,83.8017
NC7000,1,117.4781,50,6,800,130.11,84.27299
NC7000,1,117.4781,50,6,800,135.25,83.31957
NC7000,1,117.4781,50,6,800,140.08,82.77573
NC7000,1,117.4781,50,6,800,145.2,84.56857
NC7000,1,117.4781,50,6,800,150.14,82.66634
NC7000,1,117.4781,50,6,800,154.96,83.51762
NC7000,1,117.4781,50,6,800,160.17,85.34882
NC7000,1,117.4781,50,6,800,164.99,84.54866
NC7000,1,117.4781,50,6,800,169.92,85.74239
NC7000,1,117.4781,50,6,800,175.36,85.87202
NC7000,1,117.4781,50,6,800,180.08,86.25717
NC7000,1,117.4781,50,6,800,185.29,85.57944
NC7000,1,117.4781,50,6,800,190.28,84.12203
NC7000,1,117.4781,50,6,800,195.01,84.2907
NC7000,1,117.4781,50,6,800,200.2,83.93749
NC7000,1,117.4781,50,6,800,205.01,83.34943
NC7000,1,117.4781,50,6,800,210.2,85.00322
NC7000,1,117.4781,50,6,800,214.97,84.15236
NC7000,1,117.4781,50,6,800,220.24,84.26451
NC7000,1,117.4781,50,6,800,225.02,83.43365
NC7000,1,117.4781,50,6,800,230.05,85.61071
NC7000,1,117.4781,50,6,800,235.05,84.74029
NC7000,1,117.4781,50,6,800,240.06,85.41478
NC7000,1,117.4781,50,6,800,244.97,85.98048
NC7000,1,117.4781,50,6,800,249.9,83.5071
NC7000,1,117.4781,50,6,800,255.01,85.86699
NC7000,1,117.4781,50,6,800,260.09,85.99587
NC7000,1,117.4781,50,6,800,264.91,85.84237
NC7000,1,117.4781,50,6,800,270.07,85.87227
NC7000,1,117.4781,50,6,800,275.1,86.99686
NC7000,1,117.4781,50,6,800,280.05,87.77912
NC7000,1,117.4781,50,6,800,284.99,86.71028
NC7000,1,117.4781,50,6,800,290.07,87.56152
NC7000,1,117.4781,50,6,800,295.12,87.56354
NC7000,1,117.4781,50,6,800,299.92,88.23677
NC7000,1,117.4781,50,6,800,305.07,88.57954
NC7000,1,117.4781,50,6,800,310.08,87.3448
NC7000,1,117.4781,50,6,800,314.91,87.79426
NC7000,1,117.4781,50,6,800,320.01,87.4864
NC7000,1,117.4781,50,6,800,325.09,88.15598
NC7000,1,117.4781,50,6,800,330.05,87.90475
NC7000,1,117.4781,50,6,800,335,87.83766
NC7000,1,117.4781,50,6,800,340.02,88.65347
NC7000,1,117.4781,50,6,800,345.1,88.63095
NC7000,1,117.4781,50,6,800,349.93,88.59476
NC7000,1,117.4781,50,6,800,355.07,89.16057
NC7000,1,117.4781,50,6,800,360.09,88.82251
NC7000,1,117.4781,50,6,800,365.11,88.8448
