particle,repetition,dist_mm,dist_perc,C0,time,rpm,trans
NC7000,3,117.4781,50,14,496,300,21.9726
NC7000,3,117.4781,50,14,501.02,300,20.67224
NC7000,3,117.4781,50,14,505.98,300,21.00985
NC7000,3,117.4781,50,14,511.03,300,23.49454
NC7000,3,117.4781,50,14,516.03,300,22.44017
NC7000,3,117.4781,50,14,520.98,300,23.89055
NC7000,3,117.4781,50,14,525.97,300,26.04342
NC7000,3,117.4781,50,14,531.16,300,27.04027
NC7000,3,117.4781,50,14,536.02,300,26.69489
NC7000,3,117.4781,50,14,540.99,300,25.83755
NC7000,3,117.4781,50,14,546.48,300,23.88215
NC7000,3,117.4781,50,14,551,300,24.52094
NC7000,3,117.4781,50,14,555.98,300,23.4152
NC7000,3,117.4781,50,14,561.15,300,23.30726
NC7000,3,117.4781,50,14,565.94,300,27.38914
NC7000,3,117.4781,50,14,571.05,300,26.48837
NC7000,3,117.4781,50,14,576.14,300,26.24921
NC7000,3,117.4781,50,14,581.33,300,27.4053
NC7000,3,117.4781,50,14,586.13,300,26.29003
NC7000,3,117.4781,50,14,591.13,300,28.28037
NC7000,3,117.4781,50,14,596.1,300,28.65865
NC7000,3,117.4781,50,14,601.12,300,26.59348
NC7000,3,117.4781,50,14,606.09,300,26.75329
NC7000,3,117.4781,50,14,610.92,300,29.60571
NC7000,3,117.4781,50,14,616.08,300,29.63849
NC7000,3,117.4781,50,14,621.12,300,29.12022
NC7000,3,117.4781,50,14,625.89,300,26.92844
NC7000,3,117.4781,50,14,631.1,300,26.92927
NC7000,3,117.4781,50,14,636.16,300,27.78896
NC7000,3,117.4781,50,14,641.09,300,29.83091
NC7000,3,117.4781,50,14,646.09,300,31.48844
NC7000,3,117.4781,50,14,650.89,300,30.38511
NC7000,3,117.4781,50,14,656.12,300,27.91942
NC7000,3,117.4781,50,14,660.92,300,30.1626
NC7000,3,117.4781,50,14,665.92,300,31.65641
NC7000,3,117.4781,50,14,670.87,300,27.10773
NC7000,3,117.4781,50,14,675.93,300,26.63613
NC7000,3,117.4781,50,14,681.06,300,31.06568
NC7000,3,117.4781,50,14,686.06,300,28.99494
NC7000,3,117.4781,50,14,691.13,300,27.27294
NC7000,3,117.4781,50,14,696.04,300,30.02488
NC7000,3,117.4781,50,14,701.11,300,32.66387
NC7000,3,117.4781,50,14,706.08,300,30.88832
NC7000,3,117.4781,50,14,711.09,300,31.91998
NC7000,3,117.4781,50,14,716.07,300,29.81635
NC7000,3,117.4781,50,14,721.04,300,36.41618
NC7000,3,117.4781,50,14,726.03,300,35.15572
NC7000,3,117.4781,50,14,731.07,300,35.23009
NC7000,3,117.4781,50,14,736.06,300,30.38409
NC7000,3,117.4781,50,14,741.02,300,29.99803
NC7000,3,117.4781,50,14,746.08,300,32.93488
NC7000,3,117.4781,50,14,751.08,300,31.69545
NC7000,3,117.4781,50,14,756.01,300,31.15023
NC7000,3,117.4781,50,14,761.04,300,34.6264
NC7000,3,117.4781,50,14,766.03,300,33.85641
NC7000,3,117.4781,50,14,770.99,300,31.82782
NC7000,3,117.4781,50,14,776.01,300,32.64729
NC7000,3,117.4781,50,14,780.97,300,31.95383
NC7000,3,117.4781,50,14,785.98,300,35.72517
NC7000,3,117.4781,50,14,790.99,300,33.09229
NC7000,3,117.4781,50,14,796.01,300,36.00475
NC7000,3,117.4781,50,14,800.94,300,37.62497
NC7000,3,117.4781,50,14,805.97,300,36.68755
NC7000,3,117.4781,50,14,811,300,32.02473
NC7000,3,117.4781,50,14,815.92,300,35.6169
NC7000,3,117.4781,50,14,820.94,300,33.20941
NC7000,3,117.4781,50,14,825.98,300,31.81849
NC7000,3,117.4781,50,14,830.9,300,36.15697
NC7000,3,117.4781,50,14,835.89,300,38.04645
NC7000,3,117.4781,50,14,840.88,300,34.06323
NC7000,3,117.4781,50,14,845.92,300,35.90475
NC7000,3,117.4781,50,14,850.94,300,35.01597
NC7000,3,117.4781,50,14,856.11,300,28.96756
NC7000,3,117.4781,50,14,860.87,300,34.41982
NC7000,3,117.4781,50,14,866.12,300,33.17312
NC7000,3,117.4781,50,14,871.1,300,31.53949
NC7000,3,117.4781,50,14,876.13,300,32.02825
NC7000,3,117.4781,50,14,881.05,300,35.82699
NC7000,3,117.4781,50,14,886.05,300,38.13101
NC7000,3,117.4781,50,14,891.04,300,30.48879
NC7000,3,117.4781,50,14,896.03,300,36.11787
NC7000,3,117.4781,50,14,901.1,300,35.5043
NC7000,3,117.4781,50,14,906.07,300,38.6929
NC7000,3,117.4781,50,14,911.01,300,39.70633
NC7000,3,117.4781,50,14,916.05,300,40.46379
NC7000,3,117.4781,50,14,921.01,300,39.61816
NC7000,3,117.4781,50,14,925.99,300,40.87121
NC7000,3,117.4781,50,14,931.06,300,43.24609
NC7000,3,117.4781,50,14,936,300,45.70507
NC7000,3,117.4781,50,14,941.04,300,44.37377
NC7000,3,117.4781,50,14,945.98,300,43.01258
NC7000,3,117.4781,50,14,950.96,300,45.06428
NC7000,3,117.4781,50,14,955.96,300,42.71933
NC7000,3,117.4781,50,14,960.95,300,34.8823
NC7000,3,117.4781,50,14,966,300,33.51736
NC7000,3,117.4781,50,14,970.94,300,41.56978
NC7000,3,117.4781,50,14,975.99,300,40.88602
NC7000,3,117.4781,50,14,980.99,300,35.95144
NC7000,3,117.4781,50,14,985.94,300,35.72823
NC7000,3,117.4781,50,14,990.96,300,39.95718
NC7000,3,117.4781,50,14,995.97,300,39.84687
NC7000,3,117.4781,50,14,1000.93,300,40.05027
NC7000,3,117.4781,50,14,1005.96,300,39.76219
NC7000,3,117.4781,50,14,1010.92,300,39.68065
NC7000,3,117.4781,50,14,1015.91,300,38.40914
NC7000,3,117.4781,50,14,1020.9,300,38.53317
NC7000,3,117.4781,50,14,1025.91,300,38.03547
NC7000,3,117.4781,50,14,1030.95,300,38.60715
NC7000,3,117.4781,50,14,1036.13,300,41.88747
NC7000,3,117.4781,50,14,1040.93,300,41.64545
NC7000,3,117.4781,50,14,1046.08,300,42.5631
NC7000,3,117.4781,50,14,1051.12,300,44.34918
NC7000,3,117.4781,50,14,1056.08,300,43.78603
NC7000,3,117.4781,50,14,1061.08,300,39.68561
NC7000,3,117.4781,50,14,1066.09,300,38.10842
NC7000,3,117.4781,50,14,1071.07,300,39.56241
NC7000,3,117.4781,50,14,1076.07,300,37.88395
NC7000,3,117.4781,50,14,1081.07,300,40.19215
NC7000,3,117.4781,50,14,1086.12,300,40.9688
NC7000,3,117.4781,50,14,1091.1,300,41.68643
NC7000,3,117.4781,50,14,1096.12,300,43.94113
